Original Sentence,Stemmed Tokens,Stemmed Sentence
"After nearly a century of decline, the Ottoman Empire entered World War I (1914–1918) on the side of the Central Powers and was ultimately defeated.","nearli, centuri, declin, ottoman, empir, enter, world, war, side, central, power, ultim, defeat",nearli centuri declin ottoman empir enter world war side central power ultim defeat
"During World War I, an estimated 1.5 million Armenians were killed in the Armenian Genocide.","world, war, estim, million, armenian, kill, armenian, genocid",world war estim million armenian kill armenian genocid
"Republic eraOn 1 November 1922, the newly founded parliament formally abolished the Sultanate, thus ending 623 years of Ottoman rule.","republ, eraon, novemb, newli, found, parliament, formal, abolish, sultan, thu, end, year, ottoman, rule",republ eraon novemb newli found parliament formal abolish sultan thu end year ottoman rule
This was the start of the Republic of Turkey.,"start, republ, turkey",start republ turkey
Mustafa Kemal became the republic's first president and subsequently introduced many radical reforms with the aim of founding a new secular republic from the remnants of its Ottoman past.,"mustafa, kemal, becam, republ, first, presid, subsequ, introduc, mani, radic, reform, aim, found, new, secular, republ, remnant, ottoman, past",mustafa kemal becam republ first presid subsequ introduc mani radic reform aim found new secular republ remnant ottoman past
"According to the Law on Family Names, the Turkish parliament presented Mustafa Kemal with the honorific surname ""Atatürk"" (Father Turk) in 1934.","accord, law, famili, name, turkish, parliament, present, mustafa, kemal, honorif, surnam, atatrk, father, turk",accord law famili name turkish parliament present mustafa kemal honorif surnam atatrk father turk
"Turkey joined NATO in 1952, becoming a bulwark against Soviet expansion into the Mediterranean.","turkey, join, nato, becom, bulwark, soviet, expans, mediterranean",turkey join nato becom bulwark soviet expans mediterranean
"Following a decade of inter-communal violence on the island of Cyprus and the Greek military coup of July 1974, overthrowing President Makarios and installing Nikos Sampson as dictator, Turkey invaded the Republic of Cyprus in 1974.","follow, decad, intercommun, violenc, island, cypru, greek, militari, coup, juli, overthrow, presid, makario, instal, niko, sampson, dictat, turkey, invad, republ, cypru",follow decad intercommun violenc island cypru greek militari coup juli overthrow presid makario instal niko sampson dictat turkey invad republ cypru
Nine years later the Turkish Republic of Northern Cyprus (TRNC) was established.,"nine, year, later, turkish, republ, northern, cypru, trnc, establish",nine year later turkish republ northern cypru trnc establish
Turkey is the only country to recognise the TRNC.,"turkey, countri, recognis, trnc",turkey countri recognis trnc
"Following the end of the single-party period in 1945, the multi-party period witnessed tensions over the next decades, and the period between the 1960s and the 1980s was particularly marked by periods of political instability that resulted in a number of military coups d'etat in 1960, 1971, 1980 and a military memorandum in 1997.","follow, end, singleparti, period, multiparti, period, wit, tension, next, decad, period, particularli, mark, period, polit, instabl, result, number, militari, coup, detat, militari, memorandum",follow end singleparti period multiparti period wit tension next decad period particularli mark period polit instabl result number militari coup detat militari memorandum
"The liberalization of the Turkish economy that started in the 1980s changed the landscape of the country, with successive periods of high growth and crises punctuating the following decades.","liber, turkish, economi, start, chang, landscap, countri, success, period, high, growth, crise, punctuat, follow, decad",liber turkish economi start chang landscap countri success period high growth crise punctuat follow decad
"Turkey shares international borders with Bulgaria, Greece, Syria, Iraq, Iran, Azerbaijan, Armenia and Georgia.","turkey, share, intern, border, bulgaria, greec, syria, iraq, iran, azerbaijan, armenia, georgia",turkey share intern border bulgaria greec syria iraq iran azerbaijan armenia georgia
"Turkey forms a natural bridge between the continents of Asia, Europe and Africa and is considered a transcontinental Eurasian country.","turkey, form, natur, bridg, contin, asia, europ, africa, consid, transcontinent, eurasian, countri",turkey form natur bridg contin asia europ africa consid transcontinent eurasian countri
"Asian Turkey (made up largely of Anatolia), which includes 97% of the country, is separated from European Turkey by the Bosphorus, the Sea of Marmara, and the Dardanelles (which together form a water link between the Black Sea and the Mediterranean).","asian, turkey, made, larg, anatolia, includ, countri, separ, european, turkey, bosphoru, sea, marmara, dardanel, togeth, form, water, link, black, sea, mediterranean",asian turkey made larg anatolia includ countri separ european turkey bosphoru sea marmara dardanel togeth form water link black sea mediterranean
European Turkey (eastern Thrace or Rumelia in the Balkan peninsula) comprises 3% of the country.,"european, turkey, eastern, thrace, rumelia, balkan, peninsula, compris, countri",european turkey eastern thrace rumelia balkan peninsula compris countri
"Enjoying the landscape from the tour bus_3© Vic_IVThe territory of Turkey is more than 1,600 kilometres long and 800 kilometres wide, with a roughly rectangular shape.","enjoy, landscap, tour, bu, vicivth, territori, turkey, kilometr, long, kilometr, wide, roughli, rectangular, shape",enjoy landscap tour bu vicivth territori turkey kilometr long kilometr wide roughli rectangular shape
"It lies between latitudes 35° and 43° N, and longitudes 25° and 45° E. Turkey's area, including lakes, occupies 783,562 square kilometres, of which 755,688 square kilometres are in Asia and 23,764 square kilometres in Europe.The Turkish peninsula is encircled by four seas, each differing in characteristics and the amount of salinity: Mediterranean Sea to the south, Agean Sea to the west, the Sea of Marmara between the Asia and European land masses, and the Black Sea to the north.","lie, latitud, n, longitud, e, turkey, area, includ, lake, occupi, squar, kilometr, squar, kilometr, asia, squar, kilometr, europeth, turkish, peninsula, encircl, four, sea, differ, characterist, amount, salin, mediterranean, sea, south, agean, sea, west, sea, marmara, asia, european, land, mass, black, sea, north",lie latitud n longitud e turkey area includ lake occupi squar kilometr squar kilometr asia squar kilometr europeth turkish peninsula encircl four sea differ characterist amount salin mediterranean sea south agean sea west sea marmara asia european land mass black sea north
"The Asian part of the country, Anatolia, consists of a high central plateau with narrow coastal plains, between the Köroğlu and Pontic mountain ranges to the north and the Taurus Mountains to the south.","asian, part, countri, anatolia, consist, high, central, plateau, narrow, coastal, plain, krolu, pontic, mountain, rang, north, tauru, mountain, south",asian part countri anatolia consist high central plateau narrow coastal plain krolu pontic mountain rang north tauru mountain south
"Eastern Turkey has a more mountainous landscape and is home to the sources of rivers such as the Euphrates, Tigris and Aras, and Lake Van, the largest lake in the country.","eastern, turkey, mountain, landscap, home, sourc, river, euphrat, tigri, ara, lake, van, largest, lake, countri",eastern turkey mountain landscap home sourc river euphrat tigri ara lake van largest lake countri
"The highest mountain peak in the country is the biblical Mount Ararat at 5,165 metres above sea level.","highest, mountain, peak, countri, biblic, mount, ararat, metr, sea, level",highest mountain peak countri biblic mount ararat metr sea level
"Turkey consists of 7 administrative regions, divided into 81 provinces and 923 districts!","turkey, consist, administr, region, divid, provinc, district",turkey consist administr region divid provinc district
"The 7 administrative regions and its provinces are: MarmaraEdirne, Kirklareli, Istanbul, Tekirdag, Çanakkale, Balikesir, Bursa, Yalova, Kocaeli, Sakarya and BilecikAegean TurkeyIzmir, Manisa, Kütahya, Usak, Afyonkarahisar, Aydin, Denizli and MuglaMediterranean TurkeyBurdur, Isparta, Antalya, Mersin, Adana, Hatay, Osmaniye and KahramanmarasBlack Sea TurkeyBolu, Düzce, Zonguldak, Bartin, Karabük, Kastamonu, Sinop, Samsun, Çorum, Amasya, Tokat, Ordu, Giresun, Trabzon, Gümüshane, Bayburt, Rize and ArtvinCentral AnatoliaEskisehir, Çankiri, Ankara, Kirikkale, Yozgat, Sivas, Kirsehir, Kayseri, Nevsehir, Aksaray, Nigde, Karaman and KonyaEastern AnatoliaMalatya, Erzincan, Tunceli, Elazig, Bingöl, Erzurum, Bitlis, Mus, Hakkari, Van, Agri, Igdir, Kars and ArdahanSoutheastern AnatoliaKilis, Gaziantep, Adiyaman, Sanliurfa, Diyarbakir, Mardin, Batman, Siirt and Sirnak
Most provinces have the same name as their capital, with just a few exceptions to this rule, being Hatay (capital Antakya), Kocaeli (capital Izmit) and Sakarya (Adapazari).","administr, region, provinc, marmaraedirn, kirklar, istanbul, tekirdag, anakkal, balikesir, bursa, yalova, koca, sakarya, bilecikaegean, turkeyizmir, manisa, ktahya, usak, afyonkarahisar, aydin, denizli, muglamediterranean, turkeyburdur, isparta, antalya, mersin, adana, hatay, osmaniy, kahramanmarasblack, sea, turkeybolu, dzce, zonguldak, bartin, karabk, kastamonu, sinop, samsun, orum, amasya, tokat, ordu, giresun, trabzon, gmshane, bayburt, rize, artvincentr, anatoliaeskisehir, ankiri, ankara, kirikkal, yozgat, siva, kirsehir, kayseri, nevsehir, aksaray, nigd, karaman, konyaeastern, anatoliamalatya, erzincan, tunc, elazig, bingl, erzurum, bitli, mu, hakkari, van, agri, igdir, kar, ardahansoutheastern, anatoliakili, gaziantep, adiyaman, sanliurfa, diyarbakir, mardin, batman, siirt, sirnak, provinc, name, capit, except, rule, hatay, capit, antakya, koca, capit, izmit, sakarya, adapazari",administr region provinc marmaraedirn kirklar istanbul tekirdag anakkal balikesir bursa yalova koca sakarya bilecikaegean turkeyizmir manisa ktahya usak afyonkarahisar aydin denizli muglamediterranean turkeyburdur isparta antalya mersin adana hatay osmaniy kahramanmarasblack sea turkeybolu dzce zonguldak bartin karabk kastamonu sinop samsun orum amasya tokat ordu giresun trabzon gmshane bayburt rize artvincentr anatoliaeskisehir ankiri ankara kirikkal yozgat siva kirsehir kayseri nevsehir aksaray nigd karaman konyaeastern anatoliamalatya erzincan tunc elazig bingl erzurum bitli mu hakkari van agri igdir kar ardahansoutheastern anatoliakili gaziantep adiyaman sanliurfa diyarbakir mardin batman siirt sirnak provinc name capit except rule hatay capit antakya koca capit izmit sakarya adapazari
Cappadocia is one of the most spectacular places to visit when travelling around Turkey.,"cappadocia, one, spectacular, place, visit, travel, around, turkey",cappadocia one spectacular place visit travel around turkey
It landscapes and cultural landscapes make this a place not to miss and therefore the Göreme National Park and Rock Sites are on the UNESCO World Heritage List.,"landscap, cultur, landscap, make, place, miss, therefor, greme, nation, park, rock, site, unesco, world, heritag, list",landscap cultur landscap make place miss therefor greme nation park rock site unesco world heritag list
"The Göreme Valley and its surroundings are in a dramatic landscape, sculpted by erosion and rock-hewn sanctuaries are a must see.","greme, valley, surround, dramat, landscap, sculpt, eros, rockhewn, sanctuari, must, see",greme valley surround dramat landscap sculpt eros rockhewn sanctuari must see
The area further has dwellings and underground towns which are in fact the remains of a traditional human habitat dating back to the 4th century.,"area, dwell, underground, town, fact, remain, tradit, human, habitat, date, back, th, centuri",area dwell underground town fact remain tradit human habitat date back th centuri
A hot air balloon flight at sunrise or sunset is an activity you can do here as well and is an experience you will never forget.,"hot, air, balloon, flight, sunris, sunset, activ, well, experi, never, forget",hot air balloon flight sunris sunset activ well experi never forget
Accommodation is high quality and very reasonably priced.,"accommod, high, qualiti, reason, price",accommod high qualiti reason price
There are a good range of guesthouses and luxury hotels to cater for all tastes.,"good, rang, guesthous, luxuri, hotel, cater, tast",good rang guesthous luxuri hotel cater tast
Turkey is full of ancient ruins and a visit to one or several of those is a step back in time.,"turkey, full, ancient, ruin, visit, one, sever, step, back, time",turkey full ancient ruin visit one sever step back time
A very nice one is located near the town of Bergama in the west of the country and is called Pergamon.,"nice, one, locat, near, town, bergama, west, countri, call, pergamon",nice one locat near town bergama west countri call pergamon
"Bergama boasts the Akropol, the Temple of Serapis, the Asklepion, The Allianoi and the Red Basilica.","bergama, boast, akropol, templ, serapi, asklepion, allianoi, red, basilica",bergama boast akropol templ serapi asklepion allianoi red basilica
Mosques and museums keep you busy for days.,"mosqu, museum, keep, busi, day",mosqu museum keep busi day
"Troy is not really far from here as well, and is probably one of the most famous ones in the world and on the UNESCO World Heritage List for apparent reasons.","troy, realli, far, well, probabl, one, famou, one, world, unesco, world, heritag, list, appar, reason",troy realli far well probabl one famou one world unesco world heritag list appar reason
Who doesn't know the Trojan horse?,"nt, know, trojan, hors",nt know trojan hors
Ephesus is yet another ancient ruin and the list is long.,"ephesu, yet, anoth, ancient, ruin, list, long",ephesu yet anoth ancient ruin list long
"Hours away by plane on the other side of the country is Ani, a ruined and uninhabited medieval city in the eastern Turkish province of Kars close to the border with Armenia.","hour, away, plane, side, countri, ani, ruin, uninhabit, mediev, citi, eastern, turkish, provinc, kar, close, border, armenia",hour away plane side countri ani ruin uninhabit mediev citi eastern turkish provinc kar close border armenia
It was once the capital of a medieval Armenian kingdom that covered much of present day Armenia and eastern Turkey.,"capit, mediev, armenian, kingdom, cover, much, present, day, armenia, eastern, turkey",capit mediev armenian kingdom cover much present day armenia eastern turkey
"If you're into truly ancient history, then there are few more interesting places to visit in the world than Göbekli Tepe, by a long shot the oldest man-made place of worship featuring intricately carved megaliths and dating right back to 10,000 BC.","truli, ancient, histori, interest, place, visit, world, gbekli, tepe, long, shot, oldest, manmad, place, worship, featur, intric, carv, megalith, date, right, back, bc",truli ancient histori interest place visit world gbekli tepe long shot oldest manmad place worship featur intric carv megalith date right back bc
"The site is a good 6,000 years older than Stonehenge but was only fairly recently discovered.","site, good, year, older, stoneheng, fairli, recent, discov",site good year older stoneheng fairli recent discov
Probably the best way to get up close and personal with ancient ruins in Turkey is by walking some or all of the Lycian way - Turkey's first long distance walking trail.,"probabl, best, way, get, close, person, ancient, ruin, turkey, walk, lycian, way, turkey, first, long, distanc, walk, trail",probabl best way get close person ancient ruin turkey walk lycian way turkey first long distanc walk trail
This 500-kilometre walk traverses many of the coastal settlements from Antalya to Oludeniz and can be split up into smaller easier to manage walks.,"kilometr, walk, travers, mani, coastal, settlement, antalya, oludeniz, split, smaller, easier, manag, walk",kilometr walk travers mani coastal settlement antalya oludeniz split smaller easier manag walk
"Unfortunately, much of the western and southern coastline of Turkey is full with luxurious hotels catering mainly to package tourist from Europe.","unfortun, much, western, southern, coastlin, turkey, full, luxuri, hotel, cater, mainli, packag, tourist, europ",unfortun much western southern coastlin turkey full luxuri hotel cater mainli packag tourist europ
"Luckily, if you just travel away from main places like Marmaris, Kusadasi or Alanya, there are friendly and small villages as well as almost deserted beaches.","luckili, travel, away, main, place, like, marmari, kusadasi, alanya, friendli, small, villag, well, almost, desert, beach",luckili travel away main place like marmari kusadasi alanya friendli small villag well almost desert beach
Sailing along the Turkish coast is a popular way of travelling around as well.,"sail, along, turkish, coast, popular, way, travel, around, well",sail along turkish coast popular way travel around well
"The Lycean Way, Turkeys famous and the worlds longest marked walking trail, follows a lot of the coast.","lycean, way, turkey, famou, world, longest, mark, walk, trail, follow, lot, coast",lycean way turkey famou world longest mark walk trail follow lot coast
"If you have the time, walking along the coast is a perfect way of seeing it up close and personal.","time, walk, along, coast, perfect, way, see, close, person",time walk along coast perfect way see close person
"And for people wanting something totally different, there is always the northern Black Sea coastline, which is less crowded, at least with western tourists, and rather spectactular and more green in places as well.","peopl, want, someth, total, differ, alway, northern, black, sea, coastlin, less, crowd, least, western, tourist, rather, spectactular, green, place, well",peopl want someth total differ alway northern black sea coastlin less crowd least western tourist rather spectactular green place well
"Pamukkale literally means ""cotton castle"" in Turkish and is located in Denizli Province of Turkey.","pamukkal, liter, mean, cotton, castl, turkish, locat, denizli, provinc, turkey",pamukkal liter mean cotton castl turkish locat denizli provinc turkey
"The formation of the so-called castle took place after several earthquake eruptions and the emergence of hot springs, especially the ones rich with mineral.","format, socal, castl, took, place, sever, earthquak, erupt, emerg, hot, spring, especi, one, rich, miner",format socal castl took place sever earthquak erupt emerg hot spring especi one rich miner
These springs have been used as spa since second century BC.,"spring, use, spa, sinc, second, centuri, bc",spring use spa sinc second centuri bc
The ancient city of Hierapolis is also located on the same hill.,"ancient, citi, hierapoli, also, locat, hill",ancient citi hierapoli also locat hill
Hierapolis together with Pamukkale is recognized as a World Heritage Site.,"hierapoli, togeth, pamukkal, recogn, world, heritag, site",hierapoli togeth pamukkal recogn world heritag site
Safranbolu in Central Anatolia was an important caravan station on the main east-west trade route from the 13th century until railways were built in the early 20th century.,"safranbolu, central, anatolia, import, caravan, station, main, eastwest, trade, rout, th, centuri, railway, built, earli, th, centuri",safranbolu central anatolia import caravan station main eastwest trade rout th centuri railway built earli th centuri
"The Old Mosque, Old Bath and Süleyman Pasha Medrese were built in 1322 and are on the UNESCO World Heritage List.","old, mosqu, old, bath, sleyman, pasha, medres, built, unesco, world, heritag, list",old mosqu old bath sleyman pasha medres built unesco world heritag list
"Mount Ararat is the highest mountain of Turkey and is located in the far east of the country, not far from the border of Armenia, which claims that the mountain should actually be on Armenian grounds.","mount, ararat, highest, mountain, turkey, locat, far, east, countri, far, border, armenia, claim, mountain, actual, armenian, ground",mount ararat highest mountain turkey locat far east countri far border armenia claim mountain actual armenian ground
"This dormant volcano has a snow-capped cone year-round, so you really need crampons, an axe and some climbing experience to make it to the top.","dormant, volcano, snowcap, cone, yearround, realli, need, crampon, axe, climb, experi, make, top",dormant volcano snowcap cone yearround realli need crampon axe climb experi make top
"The mountain has long been subject in debates but since 1923 with the Treaty of Kars, the mountain is on Turkish grounds, much to the dislike of Armenia.","mountain, long, subject, debat, sinc, treati, kar, mountain, turkish, ground, much, dislik, armenia",mountain long subject debat sinc treati kar mountain turkish ground much dislik armenia
Ararat has been revered by the Armenians since ancient times as their spiritual home.,"ararat, rever, armenian, sinc, ancient, time, spiritu, home",ararat rever armenian sinc ancient time spiritu home
"Today, it is the national symbol of Armenia and on clear days the views from the capital Yerevan are tremendous.","today, nation, symbol, armenia, clear, day, view, capit, yerevan, tremend",today nation symbol armenia clear day view capit yerevan tremend
"An even better view is possible from the monastery Khor Virap, a little bit more south just across the border from Turkey.","even, better, view, possibl, monasteri, khor, virap, littl, bit, south, across, border, turkey",even better view possibl monasteri khor virap littl bit south across border turkey
The start of spring sees Istanbul come alive with colour as over 10 million tulips of over 100 different varieties are planted throughout the city.,"start, spring, see, istanbul, come, aliv, colour, million, tulip, differ, varieti, plant, throughout, citi",start spring see istanbul come aliv colour million tulip differ varieti plant throughout citi
The festival organised by the Istanbul Metropolitan Municipality and a photographer and flower lover's delight.,"festiv, organis, istanbul, metropolitan, municip, photograph, flower, lover, delight",festiv organis istanbul metropolitan municip photograph flower lover delight
Best place to view the tulip are Emirgan Park and Gulhane Park.,"best, place, view, tulip, emirgan, park, gulhan, park",best place view tulip emirgan park gulhan park
"[/listing]
The Ankara Film Festival is a wonderful event held in Turkey’s capital.","list, ankara, film, festiv, wonder, event, held, turkey, capit",list ankara film festiv wonder event held turkey capit
"Each year during the month of March, travelers, film-buffs, directors, and acclaimed actors from across the globe come to Ankara for screenings at venues around the city.","year, month, march, travel, filmbuff, director, acclaim, actor, across, globe, come, ankara, screen, venu, around, citi",year month march travel filmbuff director acclaim actor across globe come ankara screen venu around citi
"The largest event in Turkey’s largest city, the Istanbul Music festival lasts about two months, filling June and July with a range of interesting concerts and performances.","largest, event, turkey, largest, citi, istanbul, music, festiv, last, two, month, fill, june, juli, rang, interest, concert, perform",largest event turkey largest citi istanbul music festiv last two month fill june juli rang interest concert perform
"Tourists will be able to enjoy classical and opera performances, theatrical shows, and traditional tunes from regions around the country.","tourist, abl, enjoy, classic, opera, perform, theatric, show, tradit, tune, region, around, countri",tourist abl enjoy classic opera perform theatric show tradit tune region around countri
"One of the most renowned musical events in Turkey’s Gumusluk area, the bulk of the festival begins on July 5, although classical performances are held several times in July, August and September.","one, renown, music, event, turkey, gumusluk, area, bulk, festiv, begin, juli, although, classic, perform, held, sever, time, juli, august, septemb",one renown music event turkey gumusluk area bulk festiv begin juli although classic perform held sever time juli august septemb
Symphony orchestras offer a relaxing way to rejuvenate after a long day of sightseeing.,"symphoni, orchestra, offer, relax, way, rejuven, long, day, sightse",symphoni orchestra offer relax way rejuven long day sightse
"First established in 1986, the Istanbul Jazz Festival is one of the most popular musical events in the nation.","first, establish, istanbul, jazz, festiv, one, popular, music, event, nation",first establish istanbul jazz festiv one popular music event nation
"It is held every July, attracting thousands of revelers from all over the country.","held, everi, juli, attract, thousand, revel, countri",held everi juli attract thousand revel countri
"Even though Jazz is the focus, there are plenty of other genres to enjoy.","even, though, jazz, focu, plenti, genr, enjoy",even though jazz focu plenti genr enjoy
This Roman festival known as Kakava is celebrated by Romani people throughout the Middle East and Turkey.,"roman, festiv, known, kakava, celebr, romani, peopl, throughout, middl, east, turkey",roman festiv known kakava celebr romani peopl throughout middl east turkey
"The Edirne Festival is enjoyed on May 5-6 and sees more than 5,000 people attend.","edirn, festiv, enjoy, may, see, peopl, attend",edirn festiv enjoy may see peopl attend
"The beautiful and ancient city of Aspendos is home to a wonderful Roman theater, where the Aspendos International Opera Festival is held each year.","beauti, ancient, citi, aspendo, home, wonder, roman, theater, aspendo, intern, opera, festiv, held, year",beauti ancient citi aspendo home wonder roman theater aspendo intern opera festiv held year
"More than 10,000 spectators flock to the experience the wonder of live drama in June.","spectat, flock, experi, wonder, live, drama, june",spectat flock experi wonder live drama june
"Often regarded as the most famous festival in Turkey, the Kadirga Festival is a stupendous event that showcases some of the most fascinating aspects of Turkish culture.","often, regard, famou, festiv, turkey, kadirga, festiv, stupend, event, showcas, fascin, aspect, turkish, cultur",often regard famou festiv turkey kadirga festiv stupend event showcas fascin aspect turkish cultur
"Set a dozen miles from the heart of Tonya township upon the treeless plateaus of the hinterland, the event is celebrated by visitors and the locals of Tonya, Torul, Macka, Gorele, and Eynesil every year in July.","set, dozen, mile, heart, tonya, township, upon, treeless, plateau, hinterland, event, celebr, visitor, local, tonya, torul, macka, gorel, eynesil, everi, year, juli",set dozen mile heart tonya township upon treeless plateau hinterland event celebr visitor local tonya torul macka gorel eynesil everi year juli
The oldest trade show and exhibition in Turkey is the exciting Izmir Fair held at the large show ground of Kulturepark during the early days of September.,"oldest, trade, show, exhibit, turkey, excit, izmir, fair, held, larg, show, ground, kulturepark, earli, day, septemb",oldest trade show exhibit turkey excit izmir fair held larg show ground kulturepark earli day septemb
"There are several other fairs during the event, including a popular musical festival.","sever, fair, event, includ, popular, music, festiv",sever fair event includ popular music festiv
The climate in Turkey has a vast diversity depending on the diverse topography and latitude.,"climat, turkey, vast, divers, depend, divers, topographi, latitud",climat turkey vast divers depend divers topographi latitud
Aegean and Mediterranean coastal areas enjoy the typical Mediterranean climate.,"aegean, mediterranean, coastal, area, enjoy, typic, mediterranean, climat",aegean mediterranean coastal area enjoy typic mediterranean climat
There is hardly a drop of rain during the sunny and hot summer (May to October).,"hardli, drop, rain, sunni, hot, summer, may, octob",hardli drop rain sunni hot summer may octob
"Winters are mild and rainy in these regions, and it very rarely snows at coastal areas, with the exception of mountainous areas higher than 2000 metres of these regions, which are very snowy and are frequently not passable.","winter, mild, raini, region, rare, snow, coastal, area, except, mountain, area, higher, metr, region, snowi, frequent, passabl",winter mild raini region rare snow coastal area except mountain area higher metr region snowi frequent passabl
The water temperature in the Aegean and Mediterranean Seas is warm during the long summer season (May to October) which constitutes the swimming season and fluctuates between 23° and 28 °C from north to south.,"water, temperatur, aegean, mediterranean, sea, warm, long, summer, season, may, octob, constitut, swim, season, fluctuat, c, north, south",water temperatur aegean mediterranean sea warm long summer season may octob constitut swim season fluctuat c north south
"The region around the Sea of Marmara, including Istanbul, has a transitional climate between an oceanic climate and a semi-Mediterranean climate, but it does rain, albeit not a lot, during the very warm summer (as showers which tend to last for 15-30 minutes).","region, around, sea, marmara, includ, istanbul, transit, climat, ocean, climat, semimediterranean, climat, rain, albeit, lot, warm, summer, shower, tend, last, minut",region around sea marmara includ istanbul transit climat ocean climat semimediterranean climat rain albeit lot warm summer shower tend last minut
Its winters are colder than those of the western and southern coasts.,"winter, colder, western, southern, coast",winter colder western southern coast
"Snow is common at coastal areas, although it doesn't stay on the ground for long and is limited to only a few days every winter.","snow, common, coastal, area, although, nt, stay, ground, long, limit, day, everi, winter",snow common coastal area although nt stay ground long limit day everi winter
