Original Sentence,Lemmatized Tokens,Lemmatized Sentence
"The liberalization of the Turkish economy that started in the 1980s changed the landscape of the country, with successive periods of high growth and crises punctuating the following decades.","liberalization, turkish, economy, started, changed, landscape, country, successive, period, high, growth, crisis, punctuating, following, decade",liberalization turkish economy started changed landscape country successive period high growth crisis punctuating following decade
"Turkey shares international borders with Bulgaria, Greece, Syria, Iraq, Iran, Azerbaijan, Armenia and Georgia.","turkey, share, international, border, bulgaria, greece, syria, iraq, iran, azerbaijan, armenia, georgia",turkey share international border bulgaria greece syria iraq iran azerbaijan armenia georgia
"Turkey forms a natural bridge between the continents of Asia, Europe and Africa and is considered a transcontinental Eurasian country.","turkey, form, natural, bridge, continent, asia, europe, africa, considered, transcontinental, eurasian, country",turkey form natural bridge continent asia europe africa considered transcontinental eurasian country
"Asian Turkey (made up largely of Anatolia), which includes 97% of the country, is separated from European Turkey by the Bosphorus, the Sea of Marmara, and the Dardanelles (which together form a water link between the Black Sea and the Mediterranean).","asian, turkey, made, largely, anatolia, includes, country, separated, european, turkey, bosphorus, sea, marmara, dardanelles, together, form, water, link, black, sea, mediterranean",asian turkey made largely anatolia includes country separated european turkey bosphorus sea marmara dardanelles together form water link black sea mediterranean
European Turkey (eastern Thrace or Rumelia in the Balkan peninsula) comprises 3% of the country.,"european, turkey, eastern, thrace, rumelia, balkan, peninsula, comprises, country",european turkey eastern thrace rumelia balkan peninsula comprises country
"Enjoying the landscape from the tour bus_3© Vic_IVThe territory of Turkey is more than 1,600 kilometres long and 800 kilometres wide, with a roughly rectangular shape.","enjoying, landscape, tour, bus, vicivthe, territory, turkey, kilometre, long, kilometre, wide, roughly, rectangular, shape",enjoying landscape tour bus vicivthe territory turkey kilometre long kilometre wide roughly rectangular shape
"It lies between latitudes 35° and 43° N, and longitudes 25° and 45° E. Turkey's area, including lakes, occupies 783,562 square kilometres, of which 755,688 square kilometres are in Asia and 23,764 square kilometres in Europe.The Turkish peninsula is encircled by four seas, each differing in characteristics and the amount of salinity: Mediterranean Sea to the south, Agean Sea to the west, the Sea of Marmara between the Asia and European land masses, and the Black Sea to the north.","lie, latitude, n, longitude, e, turkey, area, including, lake, occupies, square, kilometre, square, kilometre, asia, square, kilometre, europethe, turkish, peninsula, encircled, four, sea, differing, characteristic, amount, salinity, mediterranean, sea, south, agean, sea, west, sea, marmara, asia, european, land, mass, black, sea, north",lie latitude n longitude e turkey area including lake occupies square kilometre square kilometre asia square kilometre europethe turkish peninsula encircled four sea differing characteristic amount salinity mediterranean sea south agean sea west sea marmara asia european land mass black sea north
"The Asian part of the country, Anatolia, consists of a high central plateau with narrow coastal plains, between the Köroğlu and Pontic mountain ranges to the north and the Taurus Mountains to the south.","asian, part, country, anatolia, consists, high, central, plateau, narrow, coastal, plain, krolu, pontic, mountain, range, north, taurus, mountain, south",asian part country anatolia consists high central plateau narrow coastal plain krolu pontic mountain range north taurus mountain south
"Eastern Turkey has a more mountainous landscape and is home to the sources of rivers such as the Euphrates, Tigris and Aras, and Lake Van, the largest lake in the country.","eastern, turkey, mountainous, landscape, home, source, river, euphrates, tigris, ara, lake, van, largest, lake, country",eastern turkey mountainous landscape home source river euphrates tigris ara lake van largest lake country
"The highest mountain peak in the country is the biblical Mount Ararat at 5,165 metres above sea level.","highest, mountain, peak, country, biblical, mount, ararat, metre, sea, level",highest mountain peak country biblical mount ararat metre sea level
"Turkey consists of 7 administrative regions, divided into 81 provinces and 923 districts!","turkey, consists, administrative, region, divided, province, district",turkey consists administrative region divided province district
"The 7 administrative regions and its provinces are: MarmaraEdirne, Kirklareli, Istanbul, Tekirdag, Çanakkale, Balikesir, Bursa, Yalova, Kocaeli, Sakarya and BilecikAegean TurkeyIzmir, Manisa, Kütahya, Usak, Afyonkarahisar, Aydin, Denizli and MuglaMediterranean TurkeyBurdur, Isparta, Antalya, Mersin, Adana, Hatay, Osmaniye and KahramanmarasBlack Sea TurkeyBolu, Düzce, Zonguldak, Bartin, Karabük, Kastamonu, Sinop, Samsun, Çorum, Amasya, Tokat, Ordu, Giresun, Trabzon, Gümüshane, Bayburt, Rize and ArtvinCentral AnatoliaEskisehir, Çankiri, Ankara, Kirikkale, Yozgat, Sivas, Kirsehir, Kayseri, Nevsehir, Aksaray, Nigde, Karaman and KonyaEastern AnatoliaMalatya, Erzincan, Tunceli, Elazig, Bingöl, Erzurum, Bitlis, Mus, Hakkari, Van, Agri, Igdir, Kars and ArdahanSoutheastern AnatoliaKilis, Gaziantep, Adiyaman, Sanliurfa, Diyarbakir, Mardin, Batman, Siirt and Sirnak
Most provinces have the same name as their capital, with just a few exceptions to this rule, being Hatay (capital Antakya), Kocaeli (capital Izmit) and Sakarya (Adapazari).","administrative, region, province, marmaraedirne, kirklareli, istanbul, tekirdag, anakkale, balikesir, bursa, yalova, kocaeli, sakarya, bilecikaegean, turkeyizmir, manisa, ktahya, usak, afyonkarahisar, aydin, denizli, muglamediterranean, turkeyburdur, isparta, antalya, mersin, adana, hatay, osmaniye, kahramanmarasblack, sea, turkeybolu, dzce, zonguldak, bartin, karabk, kastamonu, sinop, samsun, orum, amasya, tokat, ordu, giresun, trabzon, gmshane, bayburt, rize, artvincentral, anatoliaeskisehir, ankiri, ankara, kirikkale, yozgat, siva, kirsehir, kayseri, nevsehir, aksaray, nigde, karaman, konyaeastern, anatoliamalatya, erzincan, tunceli, elazig, bingl, erzurum, bitlis, mu, hakkari, van, agri, igdir, kars, ardahansoutheastern, anatoliakilis, gaziantep, adiyaman, sanliurfa, diyarbakir, mardin, batman, siirt, sirnak, province, name, capital, exception, rule, hatay, capital, antakya, kocaeli, capital, izmit, sakarya, adapazari",administrative region province marmaraedirne kirklareli istanbul tekirdag anakkale balikesir bursa yalova kocaeli sakarya bilecikaegean turkeyizmir manisa ktahya usak afyonkarahisar aydin denizli muglamediterranean turkeyburdur isparta antalya mersin adana hatay osmaniye kahramanmarasblack sea turkeybolu dzce zonguldak bartin karabk kastamonu sinop samsun orum amasya tokat ordu giresun trabzon gmshane bayburt rize artvincentral anatoliaeskisehir ankiri ankara kirikkale yozgat siva kirsehir kayseri nevsehir aksaray nigde karaman konyaeastern anatoliamalatya erzincan tunceli elazig bingl erzurum bitlis mu hakkari van agri igdir kars ardahansoutheastern anatoliakilis gaziantep adiyaman sanliurfa diyarbakir mardin batman siirt sirnak province name capital exception rule hatay capital antakya kocaeli capital izmit sakarya adapazari
Cappadocia is one of the most spectacular places to visit when travelling around Turkey.,"cappadocia, one, spectacular, place, visit, travelling, around, turkey",cappadocia one spectacular place visit travelling around turkey
It landscapes and cultural landscapes make this a place not to miss and therefore the Göreme National Park and Rock Sites are on the UNESCO World Heritage List.,"landscape, cultural, landscape, make, place, miss, therefore, greme, national, park, rock, site, unesco, world, heritage, list",landscape cultural landscape make place miss therefore greme national park rock site unesco world heritage list
"The Göreme Valley and its surroundings are in a dramatic landscape, sculpted by erosion and rock-hewn sanctuaries are a must see.","greme, valley, surroundings, dramatic, landscape, sculpted, erosion, rockhewn, sanctuary, must, see",greme valley surroundings dramatic landscape sculpted erosion rockhewn sanctuary must see
The area further has dwellings and underground towns which are in fact the remains of a traditional human habitat dating back to the 4th century.,"area, dwelling, underground, town, fact, remains, traditional, human, habitat, dating, back, th, century",area dwelling underground town fact remains traditional human habitat dating back th century
A hot air balloon flight at sunrise or sunset is an activity you can do here as well and is an experience you will never forget.,"hot, air, balloon, flight, sunrise, sunset, activity, well, experience, never, forget",hot air balloon flight sunrise sunset activity well experience never forget
Accommodation is high quality and very reasonably priced.,"accommodation, high, quality, reasonably, priced",accommodation high quality reasonably priced
There are a good range of guesthouses and luxury hotels to cater for all tastes.,"good, range, guesthouse, luxury, hotel, cater, taste",good range guesthouse luxury hotel cater taste
Turkey is full of ancient ruins and a visit to one or several of those is a step back in time.,"turkey, full, ancient, ruin, visit, one, several, step, back, time",turkey full ancient ruin visit one several step back time
A very nice one is located near the town of Bergama in the west of the country and is called Pergamon.,"nice, one, located, near, town, bergama, west, country, called, pergamon",nice one located near town bergama west country called pergamon
"Bergama boasts the Akropol, the Temple of Serapis, the Asklepion, The Allianoi and the Red Basilica.","bergama, boast, akropol, temple, serapis, asklepion, allianoi, red, basilica",bergama boast akropol temple serapis asklepion allianoi red basilica
Mosques and museums keep you busy for days.,"mosque, museum, keep, busy, day",mosque museum keep busy day
"Troy is not really far from here as well, and is probably one of the most famous ones in the world and on the UNESCO World Heritage List for apparent reasons.","troy, really, far, well, probably, one, famous, one, world, unesco, world, heritage, list, apparent, reason",troy really far well probably one famous one world unesco world heritage list apparent reason
Who doesn't know the Trojan horse?,"nt, know, trojan, horse",nt know trojan horse
Ephesus is yet another ancient ruin and the list is long.,"ephesus, yet, another, ancient, ruin, list, long",ephesus yet another ancient ruin list long
"Hours away by plane on the other side of the country is Ani, a ruined and uninhabited medieval city in the eastern Turkish province of Kars close to the border with Armenia.","hour, away, plane, side, country, ani, ruined, uninhabited, medieval, city, eastern, turkish, province, kars, close, border, armenia",hour away plane side country ani ruined uninhabited medieval city eastern turkish province kars close border armenia
It was once the capital of a medieval Armenian kingdom that covered much of present day Armenia and eastern Turkey.,"capital, medieval, armenian, kingdom, covered, much, present, day, armenia, eastern, turkey",capital medieval armenian kingdom covered much present day armenia eastern turkey
"If you're into truly ancient history, then there are few more interesting places to visit in the world than Göbekli Tepe, by a long shot the oldest man-made place of worship featuring intricately carved megaliths and dating right back to 10,000 BC.","truly, ancient, history, interesting, place, visit, world, gbekli, tepe, long, shot, oldest, manmade, place, worship, featuring, intricately, carved, megalith, dating, right, back, bc",truly ancient history interesting place visit world gbekli tepe long shot oldest manmade place worship featuring intricately carved megalith dating right back bc
"The site is a good 6,000 years older than Stonehenge but was only fairly recently discovered.","site, good, year, older, stonehenge, fairly, recently, discovered",site good year older stonehenge fairly recently discovered
Probably the best way to get up close and personal with ancient ruins in Turkey is by walking some or all of the Lycian way - Turkey's first long distance walking trail.,"probably, best, way, get, close, personal, ancient, ruin, turkey, walking, lycian, way, turkey, first, long, distance, walking, trail",probably best way get close personal ancient ruin turkey walking lycian way turkey first long distance walking trail
This 500-kilometre walk traverses many of the coastal settlements from Antalya to Oludeniz and can be split up into smaller easier to manage walks.,"kilometre, walk, traverse, many, coastal, settlement, antalya, oludeniz, split, smaller, easier, manage, walk",kilometre walk traverse many coastal settlement antalya oludeniz split smaller easier manage walk
"Unfortunately, much of the western and southern coastline of Turkey is full with luxurious hotels catering mainly to package tourist from Europe.","unfortunately, much, western, southern, coastline, turkey, full, luxurious, hotel, catering, mainly, package, tourist, europe",unfortunately much western southern coastline turkey full luxurious hotel catering mainly package tourist europe
"Luckily, if you just travel away from main places like Marmaris, Kusadasi or Alanya, there are friendly and small villages as well as almost deserted beaches.","luckily, travel, away, main, place, like, marmaris, kusadasi, alanya, friendly, small, village, well, almost, deserted, beach",luckily travel away main place like marmaris kusadasi alanya friendly small village well almost deserted beach
Sailing along the Turkish coast is a popular way of travelling around as well.,"sailing, along, turkish, coast, popular, way, travelling, around, well",sailing along turkish coast popular way travelling around well
"The Lycean Way, Turkeys famous and the worlds longest marked walking trail, follows a lot of the coast.","lycean, way, turkey, famous, world, longest, marked, walking, trail, follows, lot, coast",lycean way turkey famous world longest marked walking trail follows lot coast
"If you have the time, walking along the coast is a perfect way of seeing it up close and personal.","time, walking, along, coast, perfect, way, seeing, close, personal",time walking along coast perfect way seeing close personal
"And for people wanting something totally different, there is always the northern Black Sea coastline, which is less crowded, at least with western tourists, and rather spectactular and more green in places as well.","people, wanting, something, totally, different, always, northern, black, sea, coastline, less, crowded, least, western, tourist, rather, spectactular, green, place, well",people wanting something totally different always northern black sea coastline less crowded least western tourist rather spectactular green place well
"Pamukkale literally means ""cotton castle"" in Turkish and is located in Denizli Province of Turkey.","pamukkale, literally, mean, cotton, castle, turkish, located, denizli, province, turkey",pamukkale literally mean cotton castle turkish located denizli province turkey
"The formation of the so-called castle took place after several earthquake eruptions and the emergence of hot springs, especially the ones rich with mineral.","formation, socalled, castle, took, place, several, earthquake, eruption, emergence, hot, spring, especially, one, rich, mineral",formation socalled castle took place several earthquake eruption emergence hot spring especially one rich mineral
These springs have been used as spa since second century BC.,"spring, used, spa, since, second, century, bc",spring used spa since second century bc
The ancient city of Hierapolis is also located on the same hill.,"ancient, city, hierapolis, also, located, hill",ancient city hierapolis also located hill
Hierapolis together with Pamukkale is recognized as a World Heritage Site.,"hierapolis, together, pamukkale, recognized, world, heritage, site",hierapolis together pamukkale recognized world heritage site
Safranbolu in Central Anatolia was an important caravan station on the main east-west trade route from the 13th century until railways were built in the early 20th century.,"safranbolu, central, anatolia, important, caravan, station, main, eastwest, trade, route, th, century, railway, built, early, th, century",safranbolu central anatolia important caravan station main eastwest trade route th century railway built early th century
"The Old Mosque, Old Bath and Süleyman Pasha Medrese were built in 1322 and are on the UNESCO World Heritage List.","old, mosque, old, bath, sleyman, pasha, medrese, built, unesco, world, heritage, list",old mosque old bath sleyman pasha medrese built unesco world heritage list
"Mount Ararat is the highest mountain of Turkey and is located in the far east of the country, not far from the border of Armenia, which claims that the mountain should actually be on Armenian grounds.","mount, ararat, highest, mountain, turkey, located, far, east, country, far, border, armenia, claim, mountain, actually, armenian, ground",mount ararat highest mountain turkey located far east country far border armenia claim mountain actually armenian ground
"This dormant volcano has a snow-capped cone year-round, so you really need crampons, an axe and some climbing experience to make it to the top.","dormant, volcano, snowcapped, cone, yearround, really, need, crampon, axe, climbing, experience, make, top",dormant volcano snowcapped cone yearround really need crampon axe climbing experience make top
"The mountain has long been subject in debates but since 1923 with the Treaty of Kars, the mountain is on Turkish grounds, much to the dislike of Armenia.","mountain, long, subject, debate, since, treaty, kars, mountain, turkish, ground, much, dislike, armenia",mountain long subject debate since treaty kars mountain turkish ground much dislike armenia
Ararat has been revered by the Armenians since ancient times as their spiritual home.,"ararat, revered, armenian, since, ancient, time, spiritual, home",ararat revered armenian since ancient time spiritual home
"Today, it is the national symbol of Armenia and on clear days the views from the capital Yerevan are tremendous.","today, national, symbol, armenia, clear, day, view, capital, yerevan, tremendous",today national symbol armenia clear day view capital yerevan tremendous
"An even better view is possible from the monastery Khor Virap, a little bit more south just across the border from Turkey.","even, better, view, possible, monastery, khor, virap, little, bit, south, across, border, turkey",even better view possible monastery khor virap little bit south across border turkey
The start of spring sees Istanbul come alive with colour as over 10 million tulips of over 100 different varieties are planted throughout the city.,"start, spring, see, istanbul, come, alive, colour, million, tulip, different, variety, planted, throughout, city",start spring see istanbul come alive colour million tulip different variety planted throughout city
The festival organised by the Istanbul Metropolitan Municipality and a photographer and flower lover's delight.,"festival, organised, istanbul, metropolitan, municipality, photographer, flower, lover, delight",festival organised istanbul metropolitan municipality photographer flower lover delight
Best place to view the tulip are Emirgan Park and Gulhane Park.,"best, place, view, tulip, emirgan, park, gulhane, park",best place view tulip emirgan park gulhane park
"[/listing]
The Ankara Film Festival is a wonderful event held in Turkey’s capital.","listing, ankara, film, festival, wonderful, event, held, turkey, capital",listing ankara film festival wonderful event held turkey capital
"Each year during the month of March, travelers, film-buffs, directors, and acclaimed actors from across the globe come to Ankara for screenings at venues around the city.","year, month, march, traveler, filmbuffs, director, acclaimed, actor, across, globe, come, ankara, screening, venue, around, city",year month march traveler filmbuffs director acclaimed actor across globe come ankara screening venue around city
"The largest event in Turkey’s largest city, the Istanbul Music festival lasts about two months, filling June and July with a range of interesting concerts and performances.","largest, event, turkey, largest, city, istanbul, music, festival, last, two, month, filling, june, july, range, interesting, concert, performance",largest event turkey largest city istanbul music festival last two month filling june july range interesting concert performance
"Tourists will be able to enjoy classical and opera performances, theatrical shows, and traditional tunes from regions around the country.","tourist, able, enjoy, classical, opera, performance, theatrical, show, traditional, tune, region, around, country",tourist able enjoy classical opera performance theatrical show traditional tune region around country
"One of the most renowned musical events in Turkey’s Gumusluk area, the bulk of the festival begins on July 5, although classical performances are held several times in July, August and September.","one, renowned, musical, event, turkey, gumusluk, area, bulk, festival, begin, july, although, classical, performance, held, several, time, july, august, september",one renowned musical event turkey gumusluk area bulk festival begin july although classical performance held several time july august september
Symphony orchestras offer a relaxing way to rejuvenate after a long day of sightseeing.,"symphony, orchestra, offer, relaxing, way, rejuvenate, long, day, sightseeing",symphony orchestra offer relaxing way rejuvenate long day sightseeing
"First established in 1986, the Istanbul Jazz Festival is one of the most popular musical events in the nation.","first, established, istanbul, jazz, festival, one, popular, musical, event, nation",first established istanbul jazz festival one popular musical event nation
"It is held every July, attracting thousands of revelers from all over the country.","held, every, july, attracting, thousand, reveler, country",held every july attracting thousand reveler country
"Even though Jazz is the focus, there are plenty of other genres to enjoy.","even, though, jazz, focus, plenty, genre, enjoy",even though jazz focus plenty genre enjoy
This Roman festival known as Kakava is celebrated by Romani people throughout the Middle East and Turkey.,"roman, festival, known, kakava, celebrated, romani, people, throughout, middle, east, turkey",roman festival known kakava celebrated romani people throughout middle east turkey
"The Edirne Festival is enjoyed on May 5-6 and sees more than 5,000 people attend.","edirne, festival, enjoyed, may, see, people, attend",edirne festival enjoyed may see people attend
"The beautiful and ancient city of Aspendos is home to a wonderful Roman theater, where the Aspendos International Opera Festival is held each year.","beautiful, ancient, city, aspendos, home, wonderful, roman, theater, aspendos, international, opera, festival, held, year",beautiful ancient city aspendos home wonderful roman theater aspendos international opera festival held year
"More than 10,000 spectators flock to the experience the wonder of live drama in June.","spectator, flock, experience, wonder, live, drama, june",spectator flock experience wonder live drama june
"Often regarded as the most famous festival in Turkey, the Kadirga Festival is a stupendous event that showcases some of the most fascinating aspects of Turkish culture.","often, regarded, famous, festival, turkey, kadirga, festival, stupendous, event, showcase, fascinating, aspect, turkish, culture",often regarded famous festival turkey kadirga festival stupendous event showcase fascinating aspect turkish culture
"Set a dozen miles from the heart of Tonya township upon the treeless plateaus of the hinterland, the event is celebrated by visitors and the locals of Tonya, Torul, Macka, Gorele, and Eynesil every year in July.","set, dozen, mile, heart, tonya, township, upon, treeless, plateau, hinterland, event, celebrated, visitor, local, tonya, torul, macka, gorele, eynesil, every, year, july",set dozen mile heart tonya township upon treeless plateau hinterland event celebrated visitor local tonya torul macka gorele eynesil every year july
The oldest trade show and exhibition in Turkey is the exciting Izmir Fair held at the large show ground of Kulturepark during the early days of September.,"oldest, trade, show, exhibition, turkey, exciting, izmir, fair, held, large, show, ground, kulturepark, early, day, september",oldest trade show exhibition turkey exciting izmir fair held large show ground kulturepark early day september
"There are several other fairs during the event, including a popular musical festival.","several, fair, event, including, popular, musical, festival",several fair event including popular musical festival
The climate in Turkey has a vast diversity depending on the diverse topography and latitude.,"climate, turkey, vast, diversity, depending, diverse, topography, latitude",climate turkey vast diversity depending diverse topography latitude
Aegean and Mediterranean coastal areas enjoy the typical Mediterranean climate.,"aegean, mediterranean, coastal, area, enjoy, typical, mediterranean, climate",aegean mediterranean coastal area enjoy typical mediterranean climate
There is hardly a drop of rain during the sunny and hot summer (May to October).,"hardly, drop, rain, sunny, hot, summer, may, october",hardly drop rain sunny hot summer may october
"Winters are mild and rainy in these regions, and it very rarely snows at coastal areas, with the exception of mountainous areas higher than 2000 metres of these regions, which are very snowy and are frequently not passable.","winter, mild, rainy, region, rarely, snow, coastal, area, exception, mountainous, area, higher, metre, region, snowy, frequently, passable",winter mild rainy region rarely snow coastal area exception mountainous area higher metre region snowy frequently passable
The water temperature in the Aegean and Mediterranean Seas is warm during the long summer season (May to October) which constitutes the swimming season and fluctuates between 23° and 28 °C from north to south.,"water, temperature, aegean, mediterranean, sea, warm, long, summer, season, may, october, constitutes, swimming, season, fluctuates, c, north, south",water temperature aegean mediterranean sea warm long summer season may october constitutes swimming season fluctuates c north south
"The region around the Sea of Marmara, including Istanbul, has a transitional climate between an oceanic climate and a semi-Mediterranean climate, but it does rain, albeit not a lot, during the very warm summer (as showers which tend to last for 15-30 minutes).","region, around, sea, marmara, including, istanbul, transitional, climate, oceanic, climate, semimediterranean, climate, rain, albeit, lot, warm, summer, shower, tend, last, minute",region around sea marmara including istanbul transitional climate oceanic climate semimediterranean climate rain albeit lot warm summer shower tend last minute
Its winters are colder than those of the western and southern coasts.,"winter, colder, western, southern, coast",winter colder western southern coast
"Snow is common at coastal areas, although it doesn't stay on the ground for long and is limited to only a few days every winter.","snow, common, coastal, area, although, nt, stay, ground, long, limited, day, every, winter",snow common coastal area although nt stay ground long limited day every winter
"The water temperature in the Sea of Marmara is also colder than the Aegean and Mediterranean Seas, with the water temperature reaching only between 20° and 24 °C during the summer (June, July and August) and the swimming season is restricted to those summer months.","water, temperature, sea, marmara, also, colder, aegean, mediterranean, sea, water, temperature, reaching, c, summer, june, july, august, swimming, season, restricted, summer, month",water temperature sea marmara also colder aegean mediterranean sea water temperature reaching c summer june july august swimming season restricted summer month
